# x1 x2 x3 x4
# 5133 4
# 5133 4
-4.46292713e+01 -1.76699785e+01  4.00000000e+00  1.00000000e+00
-3.88328157e+01 -2.82136921e+01  4.00000000e+00  1.00000000e+00
-3.05963515e+01 -3.69846357e+01  4.00000000e+00  1.00000000e+00
-2.04374060e+01 -4.34316985e+01  4.00000000e+00  1.00000000e+00
-8.99430310e+00 -4.71497880e+01  4.00000000e+00  1.00000000e+00
 3.01394494e+00 -4.79052830e+01  4.00000000e+00  1.00000000e+00
 1.48328157e+01 -4.56507128e+01  4.00000000e+00  1.00000000e+00
 2.57196862e+01 -4.05277404e+01  4.00000000e+00  1.00000000e+00
 3.49904941e+01 -3.28582611e+01  4.00000000e+00  1.00000000e+00
 4.20627206e+01 -2.31241764e+01  4.00000000e+00  1.00000000e+00
 4.64919917e+01 -1.19371146e+01  4.00000000e+00  1.00000000e+00
 6.00000000e+01  0.00000000e+00  4.00000000e+00  1.00000000e+00
 5.87717965e+01  1.20779112e+01  4.00000000e+00  1.00000000e+00
 5.51374687e+01  2.36613513e+01  4.00000000e+00  1.00000000e+00
 4.92458065e+01  3.42760929e+01  4.00000000e+00  1.00000000e+00
 4.13380151e+01  4.34875672e+01  4.00000000e+00  1.00000000e+00
 3.17378406e+01  5.09186554e+01  4.00000000e+00  1.00000000e+00
 2.08383152e+01  5.62651279e+01  4.00000000e+00  1.00000000e+00
 9.08566665e+00  5.93080995e+01  4.00000000e+00  1.00000000e+00
-3.03895013e+00  5.99229904e+01  4.00000000e+00  1.00000000e+00
-1.50391519e+01  5.80846271e+01  4.00000000e+00  1.00000000e+00
-2.64236491e+01  5.38682724e+01  4.00000000e+00  1.00000000e+00
-3.67263590e+01  4.74465442e+01  4.00000000e+00  1.00000000e+00
-4.55254874e+01  3.90823490e+01  4.00000000e+00  1.00000000e+00
-5.24607970e+01  2.91181178e+01  4.00000000e+00  1.00000000e+00
-5.72483554e+01  1.79617874e+01  4.00000000e+00  1.00000000e+00
-5.96921594e+01  6.07009932e+00  4.00000000e+00  1.00000000e+00
-5.96921594e+01 -6.07009932e+00  4.00000000e+00  1.00000000e+00
-5.72483554e+01 -1.79617874e+01  4.00000000e+00  1.00000000e+00
-5.24607970e+01 -2.91181178e+01  4.00000000e+00  1.00000000e+00
-4.55254874e+01 -3.90823490e+01  4.00000000e+00  1.00000000e+00
-3.67263590e+01 -4.74465442e+01  4.00000000e+00  1.00000000e+00
-2.64236491e+01 -5.38682724e+01  4.00000000e+00  1.00000000e+00
-1.50391519e+01 -5.80846271e+01  4.00000000e+00  1.00000000e+00
-3.03895013e+00 -5.99229904e+01  4.00000000e+00  1.00000000e+00
 9.08566665e+00 -5.93080995e+01  4.00000000e+00  1.00000000e+00
 2.08383152e+01 -5.62651279e+01  4.00000000e+00  1.00000000e+00
 3.17378406e+01 -5.09186554e+01  4.00000000e+00  1.00000000e+00
 4.13380151e+01 -4.34875672e+01  4.00000000e+00  1.00000000e+00
 4.92458065e+01 -3.42760929e+01  4.00000000e+00  1.00000000e+00
 5.51374687e+01 -2.36613513e+01  4.00000000e+00  1.00000000e+00
 5.87717965e+01 -1.20779112e+01  4.00000000e+00  1.00000000e+00
 7.20000000e+01  0.00000000e+00  4.00000000e+00  1.00000000e+00
 7.09643455e+01  1.21680591e+01  4.00000000e+00  1.00000000e+00
 6.78871761e+01  2.39860652e+01  4.00000000e+00  1.00000000e+00
 6.28570161e+01  3.51140360e+01  4.00000000e+00  1.00000000e+00
 5.60185743e+01  4.52318398e+01  4.00000000e+00  1.00000000e+00
 4.75685801e+01  5.40484060e+01  4.00000000e+00  1.00000000e+00
 3.77501244e+01  6.13100979e+01  4.00000000e+00  1.00000000e+00
 2.68456664e+01  6.68080100e+01  4.00000000e+00  1.00000000e+00
 1.51689074e+01  7.03839772e+01  4.00000000e+00  1.00000000e+00
 3.05576663e+00  7.19351256e+01  4.00000000e+00  1.00000000e+00
-9.14528302e+00  7.14168313e+01  4.00000000e+00  1.00000000e+00
-2.10832395e+01  6.88440049e+01  4.00000000e+00  1.00000000e+00
-3.24146696e+01  6.42906618e+01  4.00000000e+00  1.00000000e+00
-4.28135887e+01  5.78877934e+01  4.00000000e+00  1.00000000e+00
-5.19808388e+01  4.98195986e+01  4.00000000e+00  1.00000000e+00
-5.96526947e+01  4.03181846e+01  4.00000000e+00  1.00000000e+00
-6.56084513e+01  2.96568899e+01  4.00000000e+00  1.00000000e+00
-6.96767722e+01  1.81424204e+01  4.00000000e+00  1.00000000e+00
-7.17406192e+01  6.10602656e+00  4.00000000e+00  1.00000000e+00
-7.17406192e+01 -6.10602656e+00  4.00000000e+00  1.00000000e+00
-6.96767722e+01 -1.81424204e+01  4.00000000e+00  1.00000000e+00
-6.56084513e+01 -2.96568899e+01  4.00000000e+00  1.00000000e+00
-5.96526947e+01 -4.03181846e+01  4.00000000e+00  1.00000000e+00
-5.19808388e+01 -4.98195986e+01  4.00000000e+00  1.00000000e+00
-4.28135887e+01 -5.78877934e+01  4.00000000e+00  1.00000000e+00
-3.24146696e+01 -6.42906618e+01  4.00000000e+00  1.00000000e+00
-2.10832395e+01 -6.88440049e+01  4.00000000e+00  1.00000000e+00
-9.14528302e+00 -7.14168313e+01  4.00000000e+00  1.00000000e+00
 3.05576663e+00 -7.19351256e+01  4.00000000e+00  1.00000000e+00
 1.51689074e+01 -7.03839772e+01  4.00000000e+00  1.00000000e+00
 2.68456664e+01 -6.68080100e+01  4.00000000e+00  1.00000000e+00
 3.77501244e+01 -6.13100979e+01  4.00000000e+00  1.00000000e+00
 4.75685801e+01 -5.40484060e+01  4.00000000e+00  1.00000000e+00
 5.60185743e+01 -4.52318398e+01  4.00000000e+00  1.00000000e+00
 6.28570161e+01 -3.51140360e+01  4.00000000e+00  1.00000000e+00
 6.78871761e+01 -2.39860652e+01  4.00000000e+00  1.00000000e+00
 7.09643455e+01 -1.21680591e+01  4.00000000e+00  1.00000000e+00
